"Latitude","Longitude","Species","DBH"
47.6451030343,-122.06811948,"Pine (Pinus species)",23
47.6451630827,-122.068067428,"Pine (Pinus species)",14
47.6453071987,-122.068284191,"Maple, Red (Acer rubrum)",20
47.645297591,-122.068225009,"Maple, Red (Acer rubrum)",20
47.6453706096,-122.067875621,"Sweetgum, Common (Liquidambar styraciflua)",20
47.6453754135,-122.067996837,"Spruce, Norway (Picea abies)",25
47.5852787236,-122.067749761,"Maple, Bigleaf (Acer macrophyllum)",30
47.585324573,-122.067747701,"Maple, Bigleaf (Acer macrophyllum)",55
47.585357918,-122.067744611,"Maple, Bigleaf (Acer macrophyllum)",30
47.5854343336,-122.067721952,"Maple, Bigleaf (Acer macrophyllum)",30
47.5854787935,-122.067724012,"Maple, Bigleaf (Acer macrophyllum)",40
47.5854947712,-122.067719892,"Maple, Bigleaf (Acer macrophyllum)",30
47.5855211693,-122.067712683,"Maple, Bigleaf (Acer macrophyllum)",30
47.5855010234,-122.067747701,"Maple, Bigleaf (Acer macrophyllum)",24
47.5855281161,-122.067733282,"Maple, Bigleaf (Acer macrophyllum)",17
47.5855809122,-122.067718862,"Maple, Bigleaf (Acer macrophyllum)",41
47.585601058,-122.067736371,"Fir, Douglas (Pseudotsuga menziesii)",5
47.5856080048,-122.067706503,"Maple, Bigleaf (Acer macrophyllum)",8
47.5856350975,-122.067719892,"Maple, Bigleaf (Acer macrophyllum)",60
47.5838948862,-122.067777569,"Maple, Bigleaf (Acer macrophyllum)",40
47.5838580667,-122.06776727,"Maple, Bigleaf (Acer macrophyllum)",45
47.6373348047,-122.067049226,"Maple, Red (Acer rubrum)",3
47.6372608139,-122.066841732,"Maple, Red (Acer rubrum)",5
47.6373890966,-122.067218929,"Sweetgum, Common (Liquidambar styraciflua)",5
47.6375731121,-122.067780089,"Sweetgum, Common (Liquidambar styraciflua)",6
47.6375212227,-122.06775442,"Sweetgum, Common (Liquidambar styraciflua)",6
47.6374755792,-122.06766529,"Sweetgum, Common (Liquidambar styraciflua)",7
47.6374702941,-122.067569743,"Sweetgum, Common (Liquidambar styraciflua)",7
47.637459724,-122.067385066,"Sweetgum, Common (Liquidambar styraciflua)",7
47.637712925,-122.067588995,"Maple, Red (Acer rubrum)",5
47.6376946677,-122.067709498,"Maple, Red (Acer rubrum)",3
47.6424997459,-122.065665918,"Cherry, Kwanzan (Prunus shrubs)",10
47.6426265745,-122.065893377,"Cedar, Deodar (Cedrus deodara)",30
47.643031079,-122.065713692,"Cedar (Chamaecyparis species)",20
47.6429883227,-122.065757187,"Cedar (Chamaecyparis species)",20
47.6432525462,-122.065387833,"Maple, Vine (Acer circinatum)",2
47.6432804097,-122.065415642,"Cedar, Western Red (Thuja plicata)",22
47.6432544678,-122.065320095,"Cedar, Western Red (Thuja plicata)",27
47.6432775273,-122.065360025,"Cedar, Western Red (Thuja plicata)",13
47.6433097144,-122.06538712,"Cedar, Western Red (Thuja plicata)",17
47.6360711168,-122.064280257,"Maple, Red (Acer rubrum)",14
47.6359726201,-122.064300935,"Maple, Red (Acer rubrum)",12
47.6358976664,-122.064325178,"Maple, Red (Acer rubrum)",14
47.6357083598,-122.064375091,"Maple, Red (Acer rubrum)",14
47.6356314838,-122.064415734,"Maple, Red (Acer rubrum)",13
47.6355353887,-122.064439977,"Maple, Red (Acer rubrum)",15
47.6353782728,-122.064551211,"Hornbeam, European (Carpinus betulus)",7
47.6353138887,-122.064572602,"Hornbeam, European (Carpinus betulus)",6
47.6352581532,-122.064607541,"Hornbeam, European (Carpinus betulus)",8
47.6351269824,-122.064672427,"Hornbeam, European (Carpinus betulus)",7
47.6350453007,-122.06472234,"Hornbeam, European (Carpinus betulus)",6
47.6349271024,-122.064790079,"Maple, Red (Acer rubrum)",10
47.6338759578,-122.064929358,"Pine (Pinus species)",13
47.634242091,-122.064888715,"Cedar, Western Red (Thuja plicata)",11
47.6343708616,-122.064883011,"Pine (Pinus species)",11
47.6344746467,-122.064888715,"Cedar, Western Red (Thuja plicata)",11
47.6341455128,-122.064863046,"Katsura Tree (Cercidiphyllum japonicum)",5
47.6339552388,-122.064839516,"Maple, Red (Acer rubrum)",13
47.6347970517,-122.064835237,"Cedar, Western Red (Thuja plicata)",13
47.6341767446,-122.064877307,"Cedar, Western Red (Thuja plicata)",8
47.6344458175,-122.064870889,"Maple, Red (Acer rubrum)",11
47.6343223324,-122.06488515,"Cedar, Western Red (Thuja plicata)",11
47.6340138587,-122.064848072,"Fir, Douglas (Pseudotsuga menziesii)",13
47.6339177605,-122.064863759,"Pine (Pinus species)",13
47.6345688218,-122.064873028,"Fir, Douglas (Pseudotsuga menziesii)",18
47.630038933,-122.064313056,"Maple, Red (Acer rubrum)",8
47.6299817503,-122.064279544,"Ash (Fraxinus species)",8
47.6299365807,-122.064246744,"Maple, Red (Acer rubrum)",8
47.6298933332,-122.064221075,"Ash (Fraxinus species)",6
47.6298470423,-122.064180035,"Ash (Fraxinus species)",9
47.6275748943,-122.063481893,"Ash (Fraxinus species)",7
47.6296880939,-122.06408837,"Ash (Fraxinus species)",6
47.6296159076,-122.064032754,"Ash (Fraxinus species)",6
47.6271356704,-122.063031253,"Ash (Fraxinus species)",6
47.629466676,-122.063951388,"Ash (Fraxinus species)",8
47.6305780812,-122.064594706,"Maple, Japanese (Acer palmatum)",12
47.6293937952,-122.063898861,"Ash (Fraxinus species)",7
47.631053315,-122.06471307,"Cherry, Kwanzan (Prunus shrubs)",8
47.6271150066,-122.062959236,"Maple, Red (Acer rubrum)",6
47.6304637169,-122.064547646,"Ash (Fraxinus species)",3
47.6292834328,-122.063830885,"Ash (Fraxinus species)",7
47.6283276427,-122.063407578,"Ash (Fraxinus species)",2
47.6303483912,-122.064496307,"Ash (Fraxinus species)",1
47.6270885761,-122.062882941,"Ash (Fraxinus species)",4
47.6309961334,-122.064685262,"Maple, Japanese (Acer palmatum)",5
47.6291633526,-122.063767028,"Ash (Fraxinus species)",6
