"Site ID","Latitude","Longitude","Species","DBH"
3387,47.6025694022,-122.042462681,"Fir, Douglas (Pseudotsuga menziesii)",25
3388,47.6027554634,-122.042449133,"Fir, Douglas (Pseudotsuga menziesii)",23
3389,47.6030809487,-122.041831643,"Spruce (Picea species)",12
3390,47.6030756602,-122.041709714,"Spruce (Picea species)",13
3391,47.6030843141,-122.041311839,"Maple, Red (Acer rubrum)",10
3392,47.6031304685,-122.04138029,"Maple, Red (Acer rubrum)",10
3393,47.603429509,-122.040766365,"Cedar, Western Red (Thuja plicata)",51
3394,47.6033376816,-122.040806295,"Tree, Unknown (Unknown Tree)",6
3395,47.6032886428,-122.040415551,"Cedar, Western Red (Thuja plicata)",40
3396,47.603307393,-122.04036849,"Cedar, Western Red (Thuja plicata)",42
3397,47.6033381624,-122.040330699,"Cedar, Western Red (Thuja plicata)",38
3398,47.6032636427,-122.040285065,"Cedar, Western Red (Thuja plicata)",46
3399,47.6031737381,-122.040135327,"Cedar, Western Red (Thuja plicata)",48
3400,47.603107872,-122.04002338,"Cedar, Western Red (Thuja plicata)",44
3401,47.6030684485,-122.040067589,"Cedar, Western Red (Thuja plicata)",50
3402,47.6035674902,-122.039735313,"Cedar, Western Red (Thuja plicata)",55
3403,47.6034722976,-122.039765974,"Cedar, Western Red (Thuja plicata)",48
3404,47.603412682,-122.039810895,"Cedar, Western Red (Thuja plicata)",46
3405,47.6035424901,-122.039655453,"Cedar, Western Red (Thuja plicata)",42
3406,47.6035088362,-122.039676131,"Cedar, Western Red (Thuja plicata)",40
3407,47.6035006631,-122.039587714,"Cedar, Western Red (Thuja plicata)",37
3408,47.6035069131,-122.03953281,"Cedar, Western Red (Thuja plicata)",44
3409,47.6034857592,-122.039465072,"Cedar, Western Red (Thuja plicata)",38
3410,47.6034530668,-122.039516411,"Cedar, Western Red (Thuja plicata)",40
3411,47.6035059516,-122.039482898,"Cedar, Western Red (Thuja plicata)",36
3412,47.6033780664,-122.039490028,"Cedar, Western Red (Thuja plicata)",37
3413,47.6033641241,-122.039425142,"Cedar, Western Red (Thuja plicata)",40
3414,47.6033703741,-122.039545645,"Cedar, Western Red (Thuja plicata)",40
3415,47.6033343162,-122.039699661,"Cedar, Western Red (Thuja plicata)",45
3416,47.6033737395,-122.039302499,"Plum (Prunus species)",26
3417,47.6033708549,-122.0392369,"Plum (Prunus species)",23
3418,47.6028751768,-122.039135649,"Oak, Pin (Quercus palustris)",12
3419,47.6028775806,-122.039026554,"Oak, Pin (Quercus palustris)",12
3420,47.6029386392,-122.038569497,"Oak, Pin (Quercus palustris)",10
3421,47.6030420059,-122.038608714,"Oak, Pin (Quercus palustris)",12
3422,47.6034578745,-122.038600158,"Apple (Malus species)",14
3423,47.6034218166,-122.038562367,"Apple (Malus species)",12
3424,47.6035011438,-122.038542402,"Apple (Malus species)",12
3425,47.6035150862,-122.038655061,"Apple (Malus species)",6
3426,47.6034578745,-122.038493915,"Apple (Malus species)",10
3427,47.6035054708,-122.038413342,"Apple (Malus species)",10
3428,47.6034155666,-122.038428316,"Apple (Malus species)",25
3429,47.6034891246,-122.038277152,"Apple (Malus species)",12
3430,47.6035078746,-122.038166631,"Fir, Douglas (Pseudotsuga menziesii)",12
3431,47.6034742207,-122.038155222,"Fir, Douglas (Pseudotsuga menziesii)",10
3432,47.6034222974,-122.038193726,"Fir, Douglas (Pseudotsuga menziesii)",13
3433,47.6033862395,-122.038153083,"Fir, Douglas (Pseudotsuga menziesii)",13
3434,47.6033530663,-122.038204422,"Fir, Douglas (Pseudotsuga menziesii)",15
3435,47.6033097968,-122.038150944,"Fir, Douglas (Pseudotsuga menziesii)",12
3436,47.6032400847,-122.038155935,"Fir, Douglas (Pseudotsuga menziesii)",10
3437,47.6031819112,-122.038160927,"Spruce (Picea species)",10
3438,47.60314393,-122.038151657,"Hemlock, Western (Tsuga heterophylla)",6
3439,47.6029203697,-122.03821797,"Fir, Douglas (Pseudotsuga menziesii)",8
3440,47.602844407,-122.038212978,"Fir, Douglas (Pseudotsuga menziesii)",9
3441,47.6027958486,-122.038163066,"Fir, Douglas (Pseudotsuga menziesii)",9
3442,47.6027588287,-122.038188022,"Hemlock, Western (Tsuga heterophylla)",6
3443,47.6023535318,-122.038453985,"Maple, Bigleaf (Acer macrophyllum)",40
3444,47.6022641064,-122.038242926,"Hemlock, Western (Tsuga heterophylla)",6
3445,47.6022342979,-122.038280717,"Hemlock, Western (Tsuga heterophylla)",6
3446,47.6022011239,-122.038247204,"Fir, Douglas (Pseudotsuga menziesii)",9
3447,47.6021636229,-122.038304247,"Hemlock, Western (Tsuga heterophylla)",6
3448,47.6021453531,-122.038242213,"Fir, Douglas (Pseudotsuga menziesii)",10
3449,47.6021030442,-122.038277152,"Fir, Douglas (Pseudotsuga menziesii)",10
3450,47.6020511195,-122.038256474,"Fir, Douglas (Pseudotsuga menziesii)",7
3451,47.6018568825,-122.038474663,"Fir, Douglas (Pseudotsuga menziesii)",18
3452,47.6018463052,-122.038565932,"Cedar, Western Red (Thuja plicata)",18
3453,47.6018525554,-122.038677166,"Maple, Bigleaf (Acer macrophyllum)",45
3454,47.6018900567,-122.038826904,"Fir, Douglas (Pseudotsuga menziesii)",24
3455,47.6019160191,-122.03876273,"Cedar, Western Red (Thuja plicata)",24
3456,47.6019294811,-122.038770574,"Fir, Douglas (Pseudotsuga menziesii)",20
3457,47.6019439046,-122.038892503,"Cedar, Western Red (Thuja plicata)",24
3458,47.6019434238,-122.03890819,"Cedar, Western Red (Thuja plicata)",20
3459,47.6016410092,-122.038668609,"Fir, Douglas (Pseudotsuga menziesii)",8
3460,47.6016765875,-122.038638662,"Fir, Douglas (Pseudotsuga menziesii)",6
3461,47.601657356,-122.03859374,"Fir, Douglas (Pseudotsuga menziesii)",8
3462,47.6017366859,-122.038600158,"Fir, Douglas (Pseudotsuga menziesii)",8
3463,47.601738609,-122.038554523,"Fir, Douglas (Pseudotsuga menziesii)",6
3464,47.6017328396,-122.038646505,"Fir, Douglas (Pseudotsuga menziesii)",6
3465,47.6017414938,-122.03851388,"Fir, Douglas (Pseudotsuga menziesii)",6
3466,47.6017313972,-122.038478228,"Fir, Douglas (Pseudotsuga menziesii)",6
3467,47.6017871685,-122.038389812,"Maple, Bigleaf (Acer macrophyllum)",20
3468,47.601741013,-122.038323499,"Maple, Bigleaf (Acer macrophyllum)",23
3469,47.6016102388,-122.038416194,"Fir, Douglas (Pseudotsuga menziesii)",7
3470,47.6013890759,-122.038852573,"Fir, Douglas (Pseudotsuga menziesii)",7
3471,47.6013376313,-122.03883546,"Fir, Douglas (Pseudotsuga menziesii)",6
3472,47.601509754,-122.038312091,"Fir, Douglas (Pseudotsuga menziesii)",8
3473,47.6015390822,-122.038261465,"Maple, Bigleaf (Acer macrophyllum)",8
3474,47.6015140811,-122.038247917,"Maple, Bigleaf (Acer macrophyllum)",6
3475,47.6014929264,-122.038240787,"Maple, Bigleaf (Acer macrophyllum)",6
3476,47.6032237384,-122.040148162,"Fir, Douglas (Pseudotsuga menziesii)",25
3477,47.6013020528,-122.03885899,"Fir, Douglas (Pseudotsuga menziesii)",6
3478,47.5870440543,-122.037441437,"Fir, Douglas (Pseudotsuga menziesii)",22
3479,47.5870411688,-122.037384394,"Cedar, Western Red (Thuja plicata)",18
3480,47.5870219319,-122.036841059,"Fir, Douglas (Pseudotsuga menziesii)",20
3481,47.5871678648,-122.036821332,"Fir, Douglas (Pseudotsuga menziesii)",18
3482,47.5871765214,-122.036712237,"Fir, Douglas (Pseudotsuga menziesii)",15
3483,47.5869591448,-122.036329336,"Fir, Douglas (Pseudotsuga menziesii)",35
3484,47.586920671,-122.03628798,"Fir, Douglas (Pseudotsuga menziesii)",30
3485,47.5869350987,-122.036259459,"Fir, Douglas (Pseudotsuga menziesii)",8
3486,47.5869341369,-122.036306519,"Fir, Douglas (Pseudotsuga menziesii)",18
3488,47.5869461599,-122.036326484,"Fir, Douglas (Pseudotsuga menziesii)",7
3489,47.5869779008,-122.036294397,"Fir, Douglas (Pseudotsuga menziesii)",9
